tier,accountId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,puuid
CHALLENGER,46qwf1-goYWMUpSdTj1sMwmTCU99zSqY7Knhb-ouw9-PqyCWVZidXuK9cQ,yuezhihuxi,1337,266,197,True,False,False,L6Ru3TiopZ2NhIQx_9sMUCkpTSWDnnMS3lRW9r84ZSr84k1XHQg0yfRJnFDI8hUqBvXitsoZkg_6eQ
CHALLENGER,0iDTGwZ51SZg5-CPd3oYgzZZy1ELOaiX2pULCImyMz1m9z8,psavncav,1337,707,634,True,False,False,FWD3aK-z1ze0KzbaOh1Higc0VENk-uvJkHmVUSoErp0Ooml1m1yv2RTUXa6BKD2KZhRdgHEwQd-OmQ
CHALLENGER,Qb_Vg16aHRca0iqZA6iOCHfrla-kfFCrmeSm8ce6X5pS6iY,hhhhbbbb,1233,567,499,True,False,False,XbGxW1pXKSD9k_EnySz8Es8Ufs6gKF_2w-7r6wpjVMQtWQgNeu7Ims1659MXkmEIE5_GqVMkNBZD0A
CHALLENGER,wKXZDcB7OsZBDaosuOkDIGuu96Wlh4P-jqeQ9EHQCbDU_is,Destiny,1028,1027,974,False,False,False,Jm6rE5Iq7JkhHa2cR3hZzOgIIRDv2sHAe5WwXlV9X4rvzsN-3fpkbwS9QU8vkxCk1rElWHFMp59sLA
CHALLENGER,P5ZSLijCepYjkFMEuY0SwJWUsjgu6uswkJdO-iS_BatWHeE,케이티 기리,1254,489,412,True,False,False,DpGk7hP80s9sc96NBI_U5wWl1XAvHaZQWe6-ZLeCYplro_XEvGrgUtrRF0-VCUBxuzVJvr3dsHBF8w
CHALLENGER,O3nlVdYL26Fi5xzZoJm9LEaVHVHcvYD5B-PATQW40iTYzbI,person to leave,1426,343,241,True,False,False,aI8UTKJrAmSoahb7QaNH8-su_4uG8DzfPdsoEw-NPcLjkKOGZiGo9uixFD2Wj2ciJL5bb5Ge_6RMzw
CHALLENGER,Hs4EB8IlJBH4EYZXFL6kSd0mu8_Uhl2bZAhp9brioDFABb0,Thanatos,918,156,97,False,False,True,MGYYzsz-GrDrQYpQr0NBidZ_q6Au0xQdzyZYG0SzggHmhDiNllHumA5IKTteoYTpFrvaBFYWuQ3HSg
CHALLENGER,5fOjo1GucU89H-aW47zA5edAeqw2abihgEF3p2_lWfcDkyA,fragiIe,1325,1021,911,True,False,False,IwknD0bCjclnHiYsrqDy8GGRTs4WFuTvZOgKU2P86BKPXHhgCaW-6yZ8p8Omo20H0ZvWceYQm0hJCw
CHALLENGER,JH_aQ9YxP7W2q9WRshMJX2Pqs16AOezd84B9Www2j7i5qTw,버기해적단 버기,1219,513,430,True,False,False,yBD_li4vJt-GG6PCSF81pjeEDBESBfbrLaVd8EGDatUw97NwSWsSehBLT1VScFSxBCkEDDgslnU0uQ
CHALLENGER,9YOJEZwOYptMM_xUZEAfqgDFPUiQzrJ7pdQL6DnlqKHOmlyGhO1_TCjPQw,qweraszcdfgtyu,1002,176,122,False,False,True,AjqeyhBGf4SZRhW5pkHMo-lMV6GxrFMIghBqVeIFdHk247sRhSX11twFyjgKRYUYBFZZUTxMOlZokA
CHALLENGER,dRQb3iRbGXojJca_0mYjMi3tRk7OjdAWPHnfUmJkoJTEuFE2NsGNx4p2Og,앙 맛있엉,1150,463,390,True,False,False,h3zZM1hMI8T3znDs7Gp3WtYBiMMG26Oa7xUKqtyOwhFFKZlMXarWCHJncYY1XwpdDh2jJD7fRwPXpg
CHALLENGER,_P-DtCMkFPOVD6wWaNbQ4E7mxS2w3OOoq58ZTwZ2nWk-4yz5o8zcyoTGEw,cbmjtjljppajk,1102,512,433,False,False,False,BZ7KjnBc3LRaHtgWwYEPRtXCafar40EH25IA3E3BCFqUbXCEzbBVGv4hH36lFceOGhheJmDF-FIH0w
CHALLENGER,hgu4apCtdUnNs9GV9yBvi2sVIJrjeOnh6HEhBbKwyE7rVzE,호잇이,1102,613,543,True,False,False,lgvqylJ7FiNSjwYFkQceQsVAcJhet26T8uvf3ESFCVs116N5rQxvxGJfhWl5h_deeQedf9eL1KiTdw
CHALLENGER,VHgS9lwswdcwsenVnvU3KLmX5L37-r7FwtayyFEaHCWeKcI,숨바꼭질,1156,1215,1135,True,False,False,EfRu2x4pex94bmK4Kokcs23CZCGnSAtieD9h-6Dx5tQY91bbwjD4sGbfdIDsHVoB7OerAzyY6s5K3w
CHALLENGER,pQTlEEKm2iTbUyGaEOjA0XdOzybGuEZVdBBhNaL0hnDQKuvD1iS4p5698g,자크헤카림,912,203,138,False,False,False,FIlFX1Aw557_z5lceJngK7sqaaSK9mLrN4uznn4X52vMr4hsJi3CuaBeBHrBgBkCUs25w9dlZWXCDg
